Organization Name: Organization Name,Request 18 Digit ID,Investment Proposal Name,Description,Due Date,Investment Proposal Record Type,Deliverable,Deliverable ID,ETEN Ivest June 30
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Collective Impact Milestone 7: Expansion of National Collaboration Groups beyond BSO (Milestone 5) to other nations led by non-BSO members of South Pacific Bible Forum. Support additional National Collaborations in Samoa & Kiribati, currently requesting BSO support. BSO staff to play a full role in supporting the establishment of effective National Collaborations in PNG, Australia & in Vanuatu, Fiji, Solomon Islands, Tonga & Samoa ? the 5 BSSP focus nations for 2025-28) plus New Caledonia. This milestone is also included in the separate National Collaboration Proposal as ETEN financial support is requested to enable these groups to function effectively.",2025-12-31,Organizational Development,B-000003327,a0xUq000000WNW9,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Collective Impact Milestone 8: Identification of Bible translation & engagement needs. The 2022 Sydney Bible Translation Gathering & subsequent SPBF highlighted the region-wide challenge of sufficient language data to inform adequate translation & engagement planning. BSO is proposing the appointment of a regional position to collate, manage & distribute accurate, practical & useful updated language data. NB: This is included in a separate Oceania National Collaboration proposal (incl. budget), however, is shown here as it remains key to BSO.",2025-12-31,Organizational Development,B-000003328,a0xUq000000WNXl,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,Organizational Effectiveness Milestone 1: Implementation of the Comprehensive & Joint 2023-26 BSO Strategy facilitated by the BSO Director. To include plans for increases in operations integration & the number of Bible Translation & Engagement Projects & local Board approvals. Updating of strategies for: BSSP BSPNG RIMS Combined BSO Strategy Updating of the BSO Implementation Plan Updating of BSO M&E Plan,2025-12-31,Organizational Development,B-000003330,a0xUq000000WNaz,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Organizational Effectiveness Milestone 2: Recruitment of required staff. In particular Translation/Project Managers to PNG, Vanuatu, Fiji, French Speaking South Pacific & BSSP. BSSP Recruited Translation & Missions Coordinators actively serving: Vanuatu ? Pastor Daniel Boe Fiji ? Ratu Marika Waqanivalu Fiji ? Project Officer ? Teupola Waqainabete New Caledonia ? Mr. Ezekias Euirimidia Solomon Islands ? Mr. John Stott BSPNG Translation Manager to be managing 10 projects",2025-12-31,Organizational Development,B-000003332,a0xUq000000WNfp,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Organizational Effectiveness Milestone 3: 6 new translation consultants. BSO wishes to develop partnership initiatives with Theological Colleges to provide training, fieldwork experience & mentorship as a pathway to either full-time or part-time translation consultants/officers This could include PhDs who could potentially be seconded for certain periods or play a part-time consultancy role. Also, current theology/Biblical studies students who could be placed on a translation consultant training pathway.",2025-12-31,Organizational Development,B-000003334,a0xUq000000WNkf,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,"Organizational Effectiveness Milestone 5: Implementation of common operational procedures across all BSO members. MoU renewals, following joint review of current MoUs Continued utilization of BSO Strategy & Implementation Plan IT Manual Finance Procedures Core HR Policies M&E Guidelines",2025-12-31,Organizational Development,B-000003336,a0xUq000000WNnt,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,Organizational Effectiveness Milestone 6: New BSPNG Constitution & Governance structure. Approval of new constitution by BSPNG Board. Endorsement of new constitution by BSPNG members at AGM,2025-12-31,Organizational Development,B-000003337,a0xUq000000WNpV,
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,Sustainability Milestone 1: Property rental income generation meets BSPNG 2021 core costs. 1. Rental of Lae & Paga Hill properties. 2. Conduct scoping exercise for Koki phase 1 - (staffing/admin facilities) & commence renovation on approval.,2025-12-31,Organizational Development,B-000003339,a0xUq000000WNr7,
United Bible Societies,006Uq0000093RGFIA2,Digital Bible Library,DBL Next Launch End of Q1 ? Launch Communication: proactively communicate and support the DBL community navigating the changes to benefit from the new features fully,2025-03-31,Translation Tool,B-000003265,a0xUq000000WJqj,
United Bible Societies,006Uq0000093RGFIA2,Digital Bible Library,DBL Next Launch End of Q1 ? DBL Next Rollout: decommission DBL Classic and promote DBL Next to production,2025-03-31,Translation Tool,B-000003266,a0xUq000000WJtx,
United Bible Societies,006Uq0000093RGFIA2,Digital Bible Library,"Expanded Distribution End of Q3 ? Open Access Portal: develop a dedicated page to showcase and promote the availability of Open Access (e.g., Creative Commons, Public Domain) translations, providing easy access to freely licensed translation resources for the global community",2025-09-30,Translation Tool,B-000003273,a0xUq000000WJty,
United Bible Societies,006Uq0000093RGFIA2,Digital Bible Library,"Open Translation Resource Availability End of Q2 ? Open Sharing Models: to open Translation Resource availability to a broader set of translation tools, revisit the governance models in cooperation with key stakeholders",2025-06-30,Translation Tool,B-000003267,a0xUq000000WJvZ,
United Bible Societies,006Uq0000093RGFIA2,Digital Bible Library,"Open Translation Resource Availability End of Q3 ? engage with at least three translation tools, prioritizing those with strong community usage?expected to include AVTT and SLTT?to develop reference implementations of integrating DBL Translation Resources into their software",2025-09-30,Translation Tool,B-000003268,a0xUq000000WJxB,
United Bible Societies,006Uq0000093RGFIA2,Digital Bible Library,"DBL Community Engagement End of Q3 ? In-Person DBL Summit: based on strong community feedback, reintroduce an in-person DBL Summit to augment virtual and self-service support channels",2025-09-30,Translation Tool,B-000003269,a0xUq000000WJyn,
United Bible Societies,006Uq0000093RGFIA2,Digital Bible Library,"DBL Community Engagement End of Q3 ? Enhanced Localized Support: the DBL Product Team and DBL Care Team will ensure the web-platform UI and essential self-service documentation are finalized in Spanish and French, in addition to English",2025-09-30,Translation Tool,B-000003270,a0xUq000000WK0P,
United Bible Societies,006Uq0000093RGFIA2,Digital Bible Library,"Oral & SL Translation Focus End of Q2 ? Socialize Translation Resource Expansion: actively engage with Translation Stewards to encourage their participation as DBL introduces, for the first time, audio and video translations as reference Translation Resources for integration into various translation tools",2025-06-30,Translation Tool,B-000003271,a0xUq000000WK21,
United Bible Societies,006Uq0000093RGFIA2,Digital Bible Library,"Oral & SL Translation Focus End of Q4 ? Bulk Upload API: collaborate with at least two high-volume audio and video producers?expected to include FCBH and Deaf Bible Society?to complete reference implementations using DBL Next's Content Upload API, enabling automated and regular content updates in DBL",2025-12-31,Translation Tool,B-000003272,a0xUq000000WK3d,
United Bible Societies,006Uq0000093RGFIA2,Digital Bible Library,"Expanded Distribution End of Q4 ? Preferred distribution: seamlessly integrate API.Bible as a preferred distribution path within DBL, offering Translation Stewards a one-click option to distribute their translations effortlessly",2025-12-31,Translation Tool,B-000003274,a0xUq000000WK5F,
United Bible Societies,006Uq0000093RGFIA2,Digital Bible Library,"Reporting and Analytics End of Q2 ? Extended Progress-Based Metrics: support ETEN, Mission Mutual, and ProgressBible in the refinement of chapter-based translation progress",2025-06-30,Translation Tool,B-000003275,a0xUq000000WK8T,
United Bible Societies,006Uq0000093RGFIA2,Digital Bible Library,"Reporting and Analytics End of Q3 ? Licensing and Download Metrics: develop data analytics capability to track and report on content download metrics, focusing on Open Access (e.g., Creative Commons, Public Domain) translations",2025-09-30,Translation Tool,B-000003276,a0xUq000000WKA5,
Wycliffe USA,006Uq0000095PBtIAM,Whole Word Institute - Localized Hebrew Training,"India (Implementing partners ? local members of the Last Command Initiative (LCI) in collaboration with Seed Co., Wycliffe India and Beulah Ministries) We have completed the initial training of 8 locals through the School of Biblical Hebrew. Wycliffe India has offered to host the program at their training center. Beulah Ministries can provide between 4-6 of the instructors/mentors. The next stages of training of instructors and mentors is set to begin in Q1 of 2025. The local program could launch as early as Q3 2025.",2025-09-30,Organizational Development,B-000003403,a0xUq000000WXVV,
Wycliffe USA,006Uq0000095PBtIAM,Whole Word Institute - Localized Hebrew Training,YWAM/University of the Nations ? The initial training of instructors and mentors is already underway with a total of 10 at various stages of training. The training will continue throughout 2025. The launch of their own Hebrew training program could be as early as July 2025. The local training program will be held either at the UofN Kona or California.,2025-07-31,Organizational Development,B-000003404,a0xUq000000WXX7,
Wycliffe USA,006Uq0000095PBtIAM,Whole Word Institute - Localized Hebrew Training,"As well as continuing our training programs in Benin, Ethiopia, Mozambique and Indonesia (Kartidaya), we are preparing to start 3 additional programs in 2025 together with partners. The first phase of beginning a local program is the training of local Instructors and mentors. Initial training has already begun for the first round of personnel from each of the 3 locations. Funding is needed to complete their training and to initiate the training of the additional personnel necessary to establish the critical mass essential for launching a local program.",2025-12-31,Organizational Development,B-000003405,a0xUq000000WXYj,
,,,,,,,,17483840.62
